moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
АртПапера,ТН2248047 от 12.08.25г.,"Бумага дизайнерская Fancy Colorful Green spruce (Зеленая ель), 320г/м2, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК  ЗЕЛЕНЫЙ,320,,,,,,,
Бумажная компания,ТТН4271473 от 20.05.25г.,"Бумага дизайнерская Breeze 101 vinous (бордовый), 320г/м2, Китай",лист 320*250мм,16,"0,79","1,58","1,25","1,50",ХЛОПОК БОРДОВЫЙ,320,обложка WP,,,,,,
АртПапера,ТН2137442 от 13.10.25г.,"Бумага дизайнерская Knight color 300г natural whate/натуральный белый, Китай",лист SRA3,62,"1,50","1,50","2,25","2,70",ХЛОПОК НАТУРАЛЬНЫЙ,300,,,,,,,
АртПапера,ТН 2247579 от 17.06.25г.,"Бумага дизайнерская Knight color 300г /м2 ,red/бордо, Китай",лист SRA3,16,"1,50","1,50","2,25","2,70",ХЛОПОК БОРДОВЫЙ,300,,,,,,,
АртПапера,ТН2247668 от 25.06.25г.,"Бумага дизайнерская Knight color 300г /м2 ,red/бордо, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК БОРДОВЫЙ,300,,,,,,,
АртПапера,ТН2138055 от 02.12.25г.,"Бумага дизайнерская Knight color 300г /м2 , navy blue/темно-синий, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК ТЕМНО-СИНИЙ,300,,,,,,,
АртПапера,ТН 2247579 от 17.06.25г.,"Бумага дизайнерская Knight color 300г /м2 , grey/серый, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК СЕРЫЙ,300,,,,,,,
АртПапера,ТН2248047 от 12.08.25г.,"Бумага дизайнерская Knight color 300г brisk blue/морская волна, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК МОРСКАЯ ВОЛНА,300,,,,,,,
АртПапера,ТН2137211 от 18.09.25г.,"Бумага дизайнерская FlaxPaper natural (натурально-белый), 300г/м2, Китай",лист SRA3,17,"1,25","1,80","2,25","2,70",ЛЕН НАТУРАЛЬНЫЙ,300,,,,,,,
АртПапера,ТН2137442 от 13.10.25г.,"Бумага дизайнерская FlaxPaper natural (натурально-белый), 300г/м2, Китай",лист SRA3,20,"1,25","1,80","2,25","2,70",ЛЕН НАТУРАЛЬНЫЙ,300,,,,,,,
